index,image,x,y,z
24,000024_1773736681679316208.png,-2.188117200385984,-0.34336494144032986,0.6547423729749803
25,000025_1773736682190284397.png,-2.1924884737577983,-0.33339315397748026,0.5780849647914527
26,000026_1773736682694269464.png,-2.1737574115662177,-0.32343741263067244,0.48877531519931167
27,000027_1773736683184610085.png,-2.149532990422364,-0.3093542184421401,0.3749072546594846
28,000028_1773736683566407383.png,-2.1399464134014123,-0.30119452757017573,0.31053297276559766
29,000029_1773736683960505372.png,-2.1357459544630153,-0.2965536302028892,0.27137797839759076
30,000030_1773736684389376434.png,-2.1265798654770185,-0.2857742081991008,0.18187080530209418
31,000031_1773736684792470737.png,-2.1094172610029394,-0.2678265971798016,0.04071334851865632
32,000032_1773736685193685831.png,-2.087794636586384,-0.25361560757191765,-0.07205242415412724
33,000033_1773736685589637552.png,-2.0626914303487887,-0.23963440003799494,-0.18011043101466484
34,000034_1773736685986494522.png,-2.0306576424962115,-0.2277884113822003,-0.2866252580407529
35,000035_1773736686391439473.png,-1.9966405235482636,-0.2151945739179136,-0.388294146287111
36,000036_1773736686878730145.png,-1.9396547268755642,-0.19450707342756338,-0.549210509291485
37,000037_1773736687273580770.png,-1.897852402561743,-0.17641515032307556,-0.6877420500366672
38,000038_1773736687683151165.png,-1.870008420973123,-0.16101743437273808,-0.8124833546810346
39,000039_1773736688072304377.png,-1.8527911377167117,-0.15070252756343244,-0.888137218808065
40,000040_1773736688455006217.png,-1.8615198286743606,-0.1331170230468882,-1.031101849397894
41,000041_1773736688894440978.png,-1.8522790398584486,-0.12049223895799566,-1.1341747582267327
42,000042_1773736689286678216.png,-1.8446694710401899,-0.10616647341328014,-1.2387930533228186
43,000043_1773736689790700793.png,-1.8522515438545888,-0.09449475990584347,-1.328520105434691
44,000044_1773736690150416780.png,-1.85654963308493,-0.08511319587650515,-1.4066710867861751
45,000045_1773736690557492611.png,-1.8682346754498662,-0.07277403083080586,-1.500573969292382
46,000046_1773736690949942254.png,-1.8749792090983326,-0.05118854092273828,-1.6608730435577979
47,000047_1773736691337742981.png,-1.8901480291817963,-0.038221206287276877,-1.756975247834452
48,000048_1773736691741164560.png,-1.9152527750264647,-0.026053318774985068,-1.870460671275085
49,000049_1773736692146040633.png,-1.9313745759168468,-0.01297036216699704,-1.9705334162891734
50,000050_1773736692543522378.png,-1.9509146977162233,-2.5500153690072302e-05,-2.0914660318004255
51,000051_1773736692961181843.png,-1.9552243865583605,0.015157418727497596,-2.223316203485425
52,000052_1773736693462586676.png,-1.9585222811263012,0.026785606740460488,-2.338346744411897
53,000053_1773736693850900510.png,-1.958269287378164,0.036455134528083466,-2.4236572008972326
54,000054_1773736694259200642.png,-1.963368358568816,0.04267478076262826,-2.4816700878330997
55,000055_1773736694654539125.png,-1.9630214014862692,0.05291484723588208,-2.5784494003440273
56,000056_1773736695055890014.png,-1.9681304674459303,0.05888828798606355,-2.6257478295029117
57,000057_1773736695451930487.png,-1.9730022324024503,0.06683442238034853,-2.6930193752024065
58,000058_1773736695826768285.png,-1.9953558001392229,0.08239740124899952,-2.808905928683483
59,000059_1773736696202474660.png,-2.016543048061397,0.09960451293722461,-2.9401599289549467
60,000060_1773736696726078385.png,-2.040646738084687,0.12314557061168485,-3.1120623112563557
61,000061_1773736697120807392.png,-2.071429799526313,0.13924535239810099,-3.242831006807997
62,000062_1773736697493558136.png,-2.087802651716023,0.1547112848210176,-3.36505534912576
63,000063_1773736697856897312.png,-2.093607438951526,0.16136233549135898,-3.4204093605812758
64,000064_1773736698226374848.png,-2.0608370303391848,0.17917089831835148,-3.551799147681788
65,000065_1773736698631906991.png,-2.055490793038051,0.19122765921396834,-3.6486366733367963
66,000066_1773736699121912746.png,-1.9741077334197923,0.21208077615214355,-3.8165868530672755
67,000067_1773736699518125812.png,-1.944177044326862,0.22663803392956444,-3.9238487570792304
68,000068_1773736699894798035.png,-1.8326816533508028,0.24304209320614328,-4.0585486109864295
69,000069_1773736700361026563.png,-1.7501934923795304,0.25511416498211154,-4.171022839511081
70,000070_1773736700742994103.png,-1.6873909257179711,0.26254906038195497,-4.216051451155454
71,000071_1773736701163348202.png,-1.6346433353337255,0.26721788856437056,-4.263487810716142
72,000072_1773736701563008330.png,-1.542858232182712,0.2773204297090095,-4.330546399419548
73,000073_1773736702043589281.png,-1.3945860270404513,0.28333545084137607,-4.390424669540933
74,000074_1773736702461646745.png,-1.3000332490784015,0.2902108960511154,-4.432606491031812
75,000075_1773736702846007766.png,-1.137707941062011,0.2940074224182206,-4.445992832344884
76,000076_1773736703223477168.png,-1.055661144164644,0.2980823843293259,-4.462992300138703
77,000077_1773736703623507821.png,-0.9380513654572223,0.29834804395558046,-4.458271077781909
78,000078_1773736704030193588.png,-0.88395686670493,0.2993056692454327,-4.46113087574767
79,000079_1773736704421517831.png,-0.8346403463875488,0.300888602678604,-4.464200459720251
80,000080_1773736704831582334.png,-0.7543606030757218,0.30205860651212635,-4.467837700627291
81,000081_1773736705222692823.png,-0.643649155298958,0.3063599225397166,-4.487373590465627
82,000082_1773736705624612457.png,-0.5371006741952885,0.31004264468766307,-4.502533703626065
83,000083_1773736706028827711.png,-0.4220214085139223,0.31544221906033193,-4.531621904602627
84,000084_1773736706411147830.png,-0.2923381443758992,0.3226686070652288,-4.562795152926272
85,000085_1773736706815678076.png,-0.15198614900499452,0.32994505207269553,-4.604904685760319
86,000086_1773736707206906425.png,-0.027776601081229924,0.33704620665690654,-4.6421302187780755
87,000087_1773736707582504965.png,0.08987424546985456,0.3410804990771761,-4.662533975282304
88,000088_1773736707933617173.png,0.22672710034039523,0.3433720725751338,-4.682057506658372
89,000089_1773736708320731728.png,0.33488237945006316,0.3445510967016388,-4.684870254132776
90,000090_1773736708708079697.png,0.4503373206057394,0.3461574896239072,-4.694119562775364
91,000091_1773736709151663729.png,0.577734804914421,0.3471321971292326,-4.700277995257784
92,000092_1773736709522512429.png,0.7200235890173137,0.3478960787204366,-4.676129155205381
93,000093_1773736709915957797.png,0.8228953574303529,0.3492768896004165,-4.670178836126901
94,000094_1773736710317412102.png,0.9980364293735753,0.34467409863827997,-4.579098744670971
95,000095_1773736710717956698.png,1.0991033148393203,0.343438290564343,-4.54242404567632
96,000096_1773736711058461655.png,1.12491681910811,0.341893770878616,-4.531753268771479
97,000097_1773736711413549286.png,1.1356392563512965,0.34180967934273615,-4.527005466451395
98,000098_1773736711818074742.png,1.1897313112402859,0.33723811689005817,-4.487121275348445
99,000099_1773736712214848376.png,1.253132276120382,0.3340050584767886,-4.431894355958901
100,000100_1773736712625703187.png,1.3074302863462826,0.33043843261342126,-4.38728397473154
101,000101_1773736713025027229.png,1.352501007861916,0.32672174092899114,-4.340242119785034
102,000102_1773736713418873523.png,1.4125967781197317,0.3208671514145245,-4.257172354348948
103,000103_1773736713804553541.png,1.447604831919609,0.3169011887026536,-4.190818300971755
104,000104_1773736714208809145.png,1.480187405351992,0.3061193638539006,-4.12375006249627
105,000105_1773736714610690416.png,1.5127595072169782,0.29037514649693347,-3.943193110793164
106,000106_1773736715118810147.png,1.5315777656938563,0.28559664897385684,-3.846489759735012
107,000107_1773736715508006185.png,1.52088929329184,0.2741804048230082,-3.713770027574787
108,000108_1773736715897518306.png,1.4984456293992159,0.2636389629777922,-3.526468746009509
109,000109_1773736716286084048.png,1.5001839524091292,0.2588467607285068,-3.4708903565258105
110,000110_1773736716745098858.png,1.4985351254100892,0.25515377886324503,-3.43033591053802
111,000111_1773736717142133162.png,1.4957011268275566,0.24741369377484773,-3.324947308199604
112,000112_1773736717641691383.png,1.4869196678738876,0.23785566206301112,-3.16769309484935
113,000113_1773736717997721888.png,1.479609782401996,0.23152850342930056,-3.082226634572614
114,000114_1773736718472151608.png,1.4759613583416251,0.22870566473753134,-3.0426650486699462
115,000115_1773736718843997825.png,1.4740586106623565,0.22772371777857958,-3.0263593124325
116,000116_1773736719246926058.png,1.5032537902236711,0.21887824279498308,-2.9102367572174335
117,000117_1773736719654356821.png,1.5094485771429653,0.21265195045435514,-2.830123439945837
118,000118_1773736720047655194.png,1.5200566960289648,0.20478390498620386,-2.726237669347458
119,000119_1773736720547298678.png,1.5420960869716358,0.19344541199646859,-2.521291374665024
120,000120_1773736720949195861.png,1.5624301581221036,0.18036988953959165,-2.331031667982777
121,000121_1773736721348544792.png,1.603747226646428,0.16925772057577276,-2.1742175311197665
122,000122_1773736721740978486.png,1.6200817683758235,0.16183754070191303,-2.0623733921937477
123,000123_1773736722111472390.png,1.5598491026652654,0.15097784073752546,-1.8757991568389467
124,000124_1773736722454512679.png,1.5364510578860648,0.1408223174007877,-1.7437179670262681
125,000125_1773736722882799334.png,1.5560644935390648,0.12716214945887128,-1.5471267530643389
126,000126_1773736723286954491.png,1.555203225824416,0.1223273176795683,-1.4757751212892432
127,000127_1773736723678861921.png,1.5553530957502042,0.12017303433295955,-1.4603958785492328
128,000128_1773736724079131958.png,1.554925220394564,0.12060908275479634,-1.4596633953215539
129,000129_1773736724514973079.png,1.555045111169867,0.12071261844302916,-1.4595580559036425
130,000130_1773736724910904202.png,1.5549605046135384,0.12079647574594628,-1.4596601893291214
131,000131_1773736725314555886.png,1.5560166148718069,0.12102190950044785,-1.4536942866603797
132,000132_1773736725721114062.png,1.5739097037117706,0.11375926843550653,-1.3474310255819488
133,000133_1773736726111759520.png,1.5772971572743684,0.11094943553646322,-1.2728032902938577
134,000134_1773736726515052611.png,1.5827135359086792,0.10806613242296695,-1.179317284579627
